key,carte,shape,image,text_fr,text_en,desc_fr,desc_en,example_fr,example_en,latin,proverbe,link_fr,link_en
1.1.3.3.1,,circle,,Appel au ciel,,,,,,,,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/35/Appeal-to-Heaven,
1.1.3.3.2,,circle,,Superstition,,,,,,,,http://skepdic.com/superstition.html,
1.1.3.4,,circle,,Pensée Cliché,,,,,,,,http://www.don-lindsay-archive.org/skeptic/arguments.html#cliche,
1.1.3.4.1,,circle,,L'exception confirme la règle,,,,,,,,http://www.don-lindsay-archive.org/skeptic/arguments.html#proves_the_rule,
1.1.3.4.2,,circle,,En théorie et en pratique,,,,,,,,https://fr.wikisource.org/wiki/L%E2%80%99Art_d%E2%80%99avoir_toujours_raison/Stratag%C3%A8me_XXXIII,
1.1.3.4.3,,circle,,Snowclone,,,,,,,,https://fr.wikipedia.org/wiki/Snowclone,
1.1.3.4.4,,circle,,Lapalissade,,,,,,,,https://fr.wikipedia.org/wiki/Lapalissade,
1.1.3.4.5,,circle,,Bromure,,,,,,,,https://en.wikipedia.org/wiki/Bromide_(language),
1.2,,circle,,Préjugé,,,,,,,,,
1.2.1,,circle,,Argument d'autorité,,,,,,,,https://fr.wikipedia.org/wiki/Argument_d%27autorit%C3%A9,
1.2.1.1,,circle,,Par le pouvoir (Argumentum ad potentiam),,,,,,,,https://fr.wikipedia.org/wiki/Argument_d%27autorit%C3%A9,
1.2.1.1.1,,circle,,Argument d'autorité aveugle,,,,,,,,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/62/Blind-Authority-Fallacy,
1.2.1.1.1.1,,circle,,Juste parce que,,,,,,,,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/115/Just-Because-Fallacy,
1.2.1.1.2,,circle,,Appel à la confiance,,,,,,,,http://rationalwiki.org/wiki/Appeal_to_confidence,
1.2.1.1.3,,circle,,Autorité invicible,,,,,,,,http://rationalwiki.org/wiki/Invincible_authority,
