PK,path,depth,état,carte,nom_vulgarisé,text_fr,LTfr,Simple_name_en,text_en,LTen,link_fr,link_en,desc_fr,Lfr115,desc_en,Len115,example_fr,Lxfr145,example_en,Lxen145,Remarques,latin,exemple politique,political_example_en,proverbe,+liens transverses,type lien transverse,shape,image,svg_color,svg_illustration
19,1.1.1.2.4.1,6,,,,Effet Gold,10,,The Gold effect,15,,https://en.wikipedia.org/wiki/Gold_effect,Vous développez une communauté scientifique autour d'une idée pour établir un consensus sans la prouver.,104,Building a a scientific community around an idea to create a consensus around it in the absence of conclusive evidence.,119,Publier dans des journaux ad hoc de nombreux articles prouvant l'efficacité / l'innocuité de tel ou tel médicament. Inviter des figures du domaine à des conférences internationales allant en ce sens. XXXl'exemple anglais est peut-être meilleur. Demander des noms à James.,271,"Flooding political economy with neoliberal publications and awards, thus developping the belief that there is no alternative.",,,,,,"Le soleil n'échauffe que ce qu'il voit.""",,,circle,,,
20,1.1.1.2.5,5,,,,Appel au bon sens (ad judicium ),32,,Appeal to common sense,22,http://www.don-lindsay-archive.org/skeptic/arguments.html#commonsense,,Vous faites appel au sens commun pour imposer une idée sans la défendre et accuser ses opposants de manque de sens commun.,122,"Asserting that an idea is common sense in order to impose it without proof, leveraging the opponent's fear of being bizarre.",124,La supériorité numérique est primordiale sur le champs de bataille.XXX,70,XXX,,lien transverse avec repoussoir.,,,,"Il n'y a pas de petites économies.""",,,circle,,,
21,1.1.1.3,4,"Jesse OK
",2,,"Sophisme
du psychologue",23,,Psychologist's fallacy,22,,https://en.wikipedia.org/wiki/Psychologist%27s_fallacy,Vous prenez votre point de vue individuel pour de l'objectivité.,64,Confusing subjective experience of reality with the essence of that which is being observed.,92,Je trouve les enfants terrifiants ; vous avez donc beaucoup de mérite à élever le vôtre.,88,"I'm so scared of kids. You are so brave to be raising your own.
",64,,,,,,vers biais subjectif ou culturel.,,circle,,,
22,1.1.1.3.1,5,,,,Projection mentale,18,,Mind projection,15,,https://en.wikipedia.org/wiki/Mind_projection_fallacy,Vous projetez une qualité imaginée par votre esprit sur la réalité dont vous parlez.,84,Projecting onto reality the imagined properties or ignorance one finds in his own mind. ,88,"S'il y a une forme de vie intelligente dans l'espace, elle ne viendrait certainement pas sur terre: XXXXXà leur place, je n'aurais moi-même aucune envie d'y venir.",163,"If I lived somewhere else, I wouldn't want to come on Earth. Therefore, I claim that no intelligent life form from out of Earth would want to come.",,"JE ne vois pas bien la différence avec sa mère, la fallacie du psycholologue. Ne pourrait-on pas inverser la hiérarchie, le sphpihisme psy étant une sorte de projection mentale?",,,,,6.3.1.5,,circle,,,
23,1.1.2,3,"Jesse OK
",2,,Sauvetage ad hoc,16,,Ad hoc rescue,13,https://initiativerationnelle.wordpress.com/2016/04/16/sauvetage-ad-hoc/,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/8/Ad-Hoc-Rescue,Vous répondez à de justes critiques de vos arguments par des explications sans fondement.,89,Making unjustified explanatory hypotheses in order to prove that a counter-argument is not actually disproving one's point.,123,"– Si les extraterrestres existaient, on en aurait vus !
– On ne les voit pas parce qu'ils frappent d'amnésie tous ceux qui les aperçoivent.",139,"- Raymond will ask me out.  
- He's been seeing Rose.  
- He's just trying to make me jealous.",94,"REformulations plus concises. Nouvelle proposition de proverbe.
",,,,"""Il n'est pire sourd que celui qui ne veut pas entendre."" XXXcheck que ça va ou: ""se raccrocher aux branches""",1.1.3.1.1.2; true scotsman,Opposé,circle,,,
24,1.1.2.1,4,,,,Le marteau en or / solution à tous les problèmes / la solution miracle,70,,The golden hammer,17,http://rationalwiki.org/wiki/Golden_hammer,,Vous proposez systématiquement la même solution à tous les problèmes. ,70,Systematically proposing the same solution to every problem.,60,"Quand on a qu'un marteau à disposition, tout ressemble à un clou.XXXce n'est pas un exemple. La croissance économique devrait résoudre tous les problèmes sociaux et économiques.",177,Growth as the solution to any social or economic issue.,,Il faut détruire Carthage ?,,,,"""C'est toujours sur le clous qui dépasse que l'on tape""XXXNon, ça c'est la traduction de creakin wheel!""'""If I had a hammer, I would smash patriarchy""",,,circle,,,
25,1.1.2.1.1,5,,,,Fausseté fractale,17,,Fractal wrongness,17,,http://rationalwiki.org/wiki/Fractal_wrongness,"Pour défendre une idée intenable, vous employez des arguments fallacieux qu'il vous faut défendre... si bien que vous avez tort à toutes les échelles de précision.",163,"Fallciously arguing to defend an wrong idea, then fallaciously supporting these arguments... Ending up wrong at every conceivable level of resolution.",150,"Grâce à l'astrologie, je peux prédire une 3e guerre mondiale.XXXtrès dur de faire un exemple succinct ici.",106,,,"lien transverse (""miroir"") regression infinie.",,,,,,,circle,,,
26,1.1.2.1.2,5,,,,Confondre inexpliqué et inexpliquable,37,,Calliing the unexplained unexplainable.,39,http://www.charlatans.info/logique22.shtml#inexplique,,Vous affirmez que ce qui n'a pas encore d'explication est inexplicable. ,72,Considering that what is yet unexplained is impossible to ever explain.,71,"L'homme ne peut pas descendre du singe, il y a un chaînon manquant. ",68,There is a missing link between monkey and man. So man cannot be descended from monkey.,,,,,,,,,circle,,,
27,1.1.2.1.2.1,6,,,,L'agent providentiel,20,,Didit fallacy,13,,http://rationalwiki.org/wiki/Didit_fallacy,"En l'absence d'explication, vous invoquez l'évidence l'action d'une entité toute puissanteet invisible.",103,Invoking the intervention of some powerful invisible entity to explain the unexplainable.,89,"Puisque nous ne savons pas pourquoi, c'est bien que nous savons qu'untel l'a fait.XXXc pas un exemple et c'est inexact. XXXMais pourquoi tel candidat que j'aimais bien s'est-il discrédité à ce point? Encore un coup de la CIA !",226,But why did this candidate I liked failed so miserably? The CIA must be behind it.,,,,,,,,,circle,,,
28,1.1.2.1.2.1.1,7,,,,Dieu des failles,16,,God of the gaps,15,,http://rationalwiki.org/wiki/God_of_the_gaps,"Pour combler une faille explicative, vous invoquez un agent divin. ",67,Invoking a divine agent to fill the explanatory gaps of a theory.,65,1/ Le moulin s'est effondré mystérieusement. 2/ les fourmis agissent de manière mystérieuse. 3/ Les fourmis ont fait s'effondrer le moulin.XXXles fournis ne sont pas divines.,174,Any meteorological catastrophic event can be seen as a manifestation of God's wrath.,,"@ Benoit: dans ta cuisine, le fourmis ne sont pas divines ;-)",,,,,,,circle,,,
29,1.1.2.2,4,,,,Argument par le scénario,24,http://www.don-lindsay-archive.org/skeptic/arguments.html#scenario,Argument by scenario,20,,http://rationalwiki.org/wiki/God_of_the_gaps,"Vous racontez une histoire qui lie des éléments indépendants, puis vous l'utilisez comme preuve de leur connection.",115,"Telling a story which ties together unrelated material,  then using the story as proof they are related. ",105,"Si Jacques n'arrive pas à déclarer sa flamme à Marie, c'est à cause de Voldemort et de ses carabistouilles. ",108,God flooded the planet once. The CIA learned it from him to send Katrina on New Orleans. Thus the CIA is doing holy work.,,lien avec fiction,,,,,,,circle,,,
30,1.1.2.3,4,,,Trouver des excuses,Rationalisation,15,Making up excuses,Rationalization,15,,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/149/Rationalization,Vous donnez de fausses mais plausibles raisons à quelquechose pour la rendre acceptable. ,89,To produce fake but plausible reasons for something in order to make it acceptable.,83,"Je ne peux pas venir, j'ai piscine. ",36,"You are being made redundant because the company needs to increase its competitivity, in a globalized world. (In fact, I want to increase profit).",,lien t ex culo,,,,"La fin justifie les moyens.""",,,circle,,,
31,1.1.2.3.1,5,,,,Hypothèse farfelue,18,,Far-fetched hypothesis,22,,"https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/96/Far-Fetched-Hypothesis
 ; 
http://www.don-lindsay-archive.org/skeptic/arguments.html#leastplausiblehypothesis",Vous formulez une hypothèse plus improbable que d'autres pour expliquer quelquechose.,85,Offering a n unlikely hypothesis as the correct explanation without first ruling out more mundane explanations.,111,"Si tes clefs se sont retrouvées dans ma poche, c'est uniquement parce que la licorne avait trop bu. ",100,Your keys ended up in my pocket because a unicorn drank too much.,,,,,,"""If you hear hoof beats, don't automatically think of zebras.""",,,circle,,,
32,1.1.2.3.1.1,6,,,Connaissance indue,Familiarité étonnante,21,,Impossible / Amazing familiarity / knowledge,44,,http://www.don-lindsay-archive.org/skeptic/arguments.html#familiarity,Vous mentionez des informations que vous n'êtes pas censé savoir si l'on en croit le reste de votre discours.,109,Mentioning information that the argumentation implicitely proves impossible for the speaker to know.,100,Et c'est pendant ce temps que vous avez appelé le commissariat pour signaler le meurtre ? XXX?,94,"After all these years abroad, I found the house burnt to ashes. Even the oyster shells that remained of yesterday's dinner were gone.",,lien avec le secteur incohérence. Pourquoi serait-ce descendant de rationalisation?,,,,,,,circle,,,
33,1.1.2.4,4,,,,Effet rebond,12,,Backfire effect,15,https://fr.wiktionary.org/wiki/effet_rebond#fr ; https://youarenotsosmart.com/2011/06/10/the-backfire-effect/#more-1218,,Vous renforcez votre croyance initiale quand on vous présente une preuve qui va à son encontre. ,96,"In the face of contradictory evidence, established beliefs do not change but actually get stronger.",99,C'est n'est pas le lobby chimique mais la franc-maçonnerie qui a fait cette loi. XXX?,85,,,"Est-ce un argument fallacieux ou juste un processus mental, qui n'aurait pas sa place ici? En fait je pense qu'on peut utiliser toute sorte de sophismes pour provoquer un effet rebond chez l'auditoire.",,,,,,,circle,,,
34,1.1.2.4.1,5,,,Inertie mentale,Réflexe Semmelweis,18,Belief perseverance,Semmelweis reflex,17,,https://en.wikipedia.org/wiki/Semmelweis_reflex,"Vous rejetez tout nouvel élément qui contredit la norme, la croyance ou les paradigmes établis. ",96,"Rejecting new evidence or new knowledge because it contradicts established norms, beliefs or paradigms.",103,"Les mains d'un ""gentleman"" ne peuvent pas être responsables de cette mortalité infantile. ",90,Ignaz Semmelweis hand-washing suggestions were rejected by doctors of his time. Some doctors refused to believe that a gentleman's hands could transmit disease.,,,,,,,,,circle,,,
35,1.1.2.5,4,,,,Tiré de mon cul (ex culo),25,,PIDOOMA (argumentum ex culo),28,,http://rationalwiki.org/wiki/Argumentum_ex_culo,"Vous défendez obstinément  votre thèse en utilisant tous les arguments à disposition, même ceux malodorants. ",109,"Using anything, even the most dirty or absurd of arguments, in a desperate attempt to defend a blatantly untenable claim.",121,Mais s'il voulait tellement lui parler c'est que sa mère aurait du accepter les avances du garde-côte.XXXpas top mais pas mieux,127,,,"TEchniquement, e n'est pas un argufallacieux, c'est un juement porté sur un argument. J4arrive pas à en saisir l'essence. Est_ce un argulment ""à chier""??? :)",,,,,,,circle,,,
36,1.1.2.5.1,5,,,Inventer des salades,Histoires comme ça,18,,Just-so story,13,https://fr.wikipedia.org/wiki/Just-so_story,,Vous invoquez une histoire fictionnelle pour expliquer quelquechose d'une manière qui vous arrange.,99,Inventing an unverifiable narrative explain something and support one's claim.,78,Ca s'est passé comme ça.XXXDe nombreuses explications de traits psychologique par une histoire évolutionniste sans preuve expérimentale.,136,Many explanations of psychological traits based on evolutionary stories which are not based on empirical evidence.,,,,,,"Just so stories (Histoires comme ça), Rudyard Kipling.",,,circle,,,
37,1.1.3,3,"Jesse OK
",1,,Argument vide,13,,Hollow argument,15,https://fr.wikipedia.org/wiki/Appel_%C3%A0_l%27ignorance,https://en.wikipedia.org/wiki/Argument_from_ignorance,Les affirmations qui composent votre raisonnement ne démontrent rien.,69,Using assertions which don't have any argumentative weight.,59,Il est inutile que je poursuive mes études car l'avenir est incertain.,70,"No need to keep on studying, because nobody knows what the future will look like.",81," (portée limitée, argument vide ou appel à l'ignorance comme le suggère le lien???). J'aime l'exemple fr",,,,,7.1.2.3,,circle,,,
38,1.1.3.1,4,,,,Appel à l'ignorance (ad ignorantiam)XXXNE serait-ce pas le même que creaky wheel?,81,,Appeal to ignorance,19,https://fr.wikipedia.org/wiki/Appel_A13%A0_l%27ignorance,http://philosophy.lander.edu/logic/ignorance.html,Vous prétendez qu'une affirmation est vraie car elle n'a pas été prouvée fausse. / Vous maintenez la véracité d'une affirmation en empêchant qu'on vous la démontre fausse. ,172,Claiming that a proposition is true because it has not been proven false.,73,Dieu n'existe pas car personne n'a démontré son existence. ,59,God doesn't exist because there is no proof of his existence.,,"lien T creaky wheel, renverser la charge de la preuve. Mais selon ses filles, élargir un peu à empĉher de démontrer fausse",,,,,,,circle,,,
39,1.1.3.1.1,5,,,La tête dans le sable,Ignorance volontaire,20,,Willed ignorance,16,#7a35832c-dd16-4372-b534-241556541234,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/182/Willed-Ignorance,Vous faites exprès de ne pas savoir ce qui irait à l'encontre de ce que vous défendez. ,87,Voluntarily avoiding knowledge of what could undermine one's argumentative position.,84,Je préfère que tu ne me dises pas ce qu'ils ont fait après.,59,,,différence entre ignorance volontaire et invincible? Comment formuler appel à l'ignorance de sorte à englober ces deux enfants?,,,,,2.2.3.4,,circle,,,
40,1.1.3.1.1.1,6,,,,Ignorance invincible,20,,Invincible ignorance,20,http://www.ditext.com/fearnside/28.html,http://www.ditext.com/fearnside/28.html,Vous fermez les yeux sur tous les faits qui vont à l'encontre de vos théories. ,79,Turning a blind eye to anything which could undermine your theory or belief.,76,Une cure de vitamine C suffira à traiter mon cancer. ,53,,,,,,,apriorisme,,,circle,,,
41,1.1.3.1.1.2,6,,,,Tabou,5,,Taboo,5,https://fr.wikipedia.org/wiki/Tabou,,Vous vous servez de tabous pour censurer des éléments qui vous embarrassent. ,77,Using taboos to censor facts that undermine you position.,57,Vous ne pouvez pas faire rire une femme lorsqu'elle a ses règles. ,66,,,lien t avec politiquement correct,,,,,,,circle,,,
42,1.1.3.1.1.3,6,,,,Syndrome du vrai croyant,24,,True-believer syndrome,22,https://fr.wikipedia.org/wiki/Syndrome_du_vrai_croyant; http://www.sceptiques.qc.ca/dictionnaire/truebeliever.html,http://skepdic.com/truebeliever.html,Vous affirmez que l'explication d'un phénomène ne peut se faire que dans la croyance inconditionnelle à certaines hypothèses. XXX Vous continuez à croire en votre théorie malgré la présentation de preuves accablantes.,217,Maintaining one's belief in a theory despite convincing rational demonstrations against it.,91,Seuls des extraterrestres peuvent construire ces soucoupes volantes. ,69,,,,,,,"En parlant du soleil on en voit les rayons.""",,,circle,,,
43,1.1.3.1.2,5,,,,Appel au mystère,16,,Appeal to mystery,17,http://rationalwiki.org/wiki/Appeal_to_mystery,http://rationalwiki.org/wiki/Appeal_to_mystery,Vous prétendez expliquer quelquechose par le fait  qu'elle n'a pas d'explication. ,82,"Arguing, as an explanation for something, that it has no explanation.",69,Que le monde serait ennuyeux si nous pouvions tout savoir. ,59,,,lien t avec contradiction logique,,,,,,,circle,,,
44,1.1.3.1.2.1,6,,,,La science ne sait pas tout,27,,Invoking the limitation of science,34,http://rationalwiki.org/wiki/Science_doesn%27t_know_everything,http://rationalwiki.org/wiki/Science_doesn%27t_know_everything,Vous appuyez la véracité de vos affirmations non-scientifiques sur le fait que la science ne sait pas tout.,107,Leveraging the true fact that science is limited to uphold one's non-scientific thesis.,87,"Puisque la science n'a pas d'explication pour la disparition des licornes, elles ont bien dû exister. ",102,,,,,,,,,,circle,,,
45,1.1.3.1.3,5,,,,Argument d'incrédulité,22,,Argument from incredulity,25,,http://rationalwiki.org/wiki/Argument_from_incredulity,Vous niez un fait ou rejetez une hypothèse car vous ne comprenez pas comment il ou elle aurait pu avoir lieu. ,110,"Deciding that something did not happen, because one cannot personally understand how it could happen.",101,"A quel moment avez vous rejetez l'hypothèse que vous étiez trop stupide pour comprendre à quel point  c'est une bonne idée ? je ne comprends pas la théorie du Big-Bang, donc ça n'a pas pu se passer comme cela.",209,At what point did you reject the hypothesis that you're too dumb to understand how good the idea is?,,Lien t avec certitude supposée (miroir),,,,"Si vous êtes loin d'être con, ben rapprochez-vous.... alors elle est pas belle la vie ?",,,circle,,,
46,1.1.3.1.3.1,6,,,,Sophisme divin,14,,Divine fallacy,14,,http://skepdic.com/dvinefal.html,Vous déclarez que Dieu a fait ce que vous ne comprenez pas. ,60,Assuming that what you can't understand is an act of God or some paranormal force.,82,"Ceci est tellement merveilleux, que seul Dieu peut le faire. ",61,,,,,,,,,,circle,,,
47,1.1.3.1.3.2,6,,,,Argument par la stupéfaction,28,,Argument from personal astonishment,35,,http://www.don-lindsay-archive.org/skeptic/arguments.html#astonishment,Vous rejetez une hypothèse ou une explication car sa véracité vous stupéfierait. ,81,Rejecting hypotheses or denying fact whose reality would be too astonishing. ,77,"Dieu a créé le monde, car seul Dieu aurait pu faire marcher tout cela ensemble. ",80,,,lien t certitude supposée,,,,,,,circle,,,
