!;

!key;family;rel;carte;shape;image;latin;image;text_fr;text_en;desc_fr;desc_en;example_fr;example_en;proverbe;link_fr;link_en;label

*root;Arguments fallacieux;;;diamond;;;;Arguments fallacieux;;;;;;;https://fr.wikipedia.org/wiki/Sophisme;;Arguments fallacieux
1.1.3.1.2;Insuffisance;;;circle;;;;Appel au mystère;;;;;;;http://rationalwiki.org/wiki/Appeal_to_mystery;;Appel au mystère
1.1.3.1.2.1;Insuffisance;;;circle;;;;La science ne sait pas tout;;;;;;;http://rationalwiki.org/wiki/Science_doesn%27t_know_everything;;La science ne sait pas tout
1.1.3.1.3;Insuffisance;;;circle;;;;Appel à l'incrédulité;;;;;;;http://rationalwiki.org/wiki/Argument_from_incredulity;;Appel à l'incrédulité
1.1.3.1.3.1;Insuffisance;;;circle;;;;Sophisme divin;;;;;;;http://skepdic.com/dvinefal.html;;Sophisme divin
1.1.3.1.3.2;Insuffisance;;;circle;;;;Argument par la stupéfaction;;;;;;;http://www.don-lindsay-archive.org/skeptic/arguments.html#astonishment;;Argument par la stupéfaction
1.1.3.1.4;Insuffisance;;;circle;;;;Preuve par l'absence;;;;;;;https://cortecs.org/materiel/sophisme-le-repulsif-anti-girafe/;;Preuve par l'absence
1.1.3.1.5;Insuffisance;;;circle;;;;Appel à la complexité;;;;;;;http://www.don-lindsay-archive.org/skeptic/arguments.html#complexity;;Appel à la complexité
1.1.3.1.6;Insuffisance;;;circle;;;;Appel à l'omniscience;;;;;;;http://rationalwiki.org/wiki/Appeal_to_omniscience;;Appel à l'omniscience
1.1.3.1.6.1;Insuffisance;;;circle;;;;Sophisme de Sherlock Holmes;;;;;;;http://rationalwiki.org/wiki/Holmesian_fallacy;;Sophisme de Sherlock Holmes
1.1.3.2;Insuffisance;;;circle;;;;Appel au desespoir;;;;;;;https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/28/Appeal-to-Desperation;;Appel au desespoir
1.1.3.2.1;Insuffisance;4.3.3.5.1;;circle;;;;Syllogisme du politicien;;;;;;;1f82a972-e177-4e69-8a71-dbce97ef6749;;Syllogisme du politicien
1.1.3.3;Insuffisance;;;circle;;;;Pensée magique;;;;;;;https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/123/Magical-Thinking;;Pensée magique
1.1.3.3.1;Insuffisance;;;circle;;;;Appel au ciel;;;;;;;https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/35/Appeal-to-Heaven;;Appel au ciel
1.1.3.3.2;Insuffisance;;;circle;;;;Superstition;;;;;;;http://skepdic.com/superstition.html;;Superstition
1.1.3.4;Insuffisance;;;circle;;;;Pensée Cliché;;;;;;;http://www.don-lindsay-archive.org/skeptic/arguments.html#cliche;;Pensée Cliché
1.1.3.4.1;Insuffisance;;;circle;;;;L'exception confirme la règle;;;;;;;http://www.don-lindsay-archive.org/skeptic/arguments.html#proves_the_rule;;L'exception confirme la règle
1.1.3.4.2;Insuffisance;;;circle;;;;En théorie et en pratique;;;;;;;https://fr.wikisource.org/wiki/L%E2%80%99Art_d%E2%80%99avoir_toujours_raison/Stratag%C3%A8me_XXXIII;;En théorie et en pratique
1.1.3.4.3;Insuffisance;;;circle;;;;Snowclone;;;;;;;https://fr.wikipedia.org/wiki/Snowclone;;Snowclone
1.1.3.4.4;Insuffisance;;;circle;;;;Lapalissade;;;;;;;https://fr.wikipedia.org/wiki/Lapalissade;;Lapalissade
1.1.3.4.5;Insuffisance;;;circle;;;;Bromure;;;;;;;https://en.wikipedia.org/wiki/Bromide_(language);;Bromure
1.2;Insuffisance;;;circle;;;;Préjugé;;;;;;;;;Préjugé
1.2.1;Insuffisance;;;circle;;;;Argument d'autorité;;;;;;;https://fr.wikipedia.org/wiki/Argument_d%27autorit%C3%A9;;Argument d'autorité
1.2.1.1;Insuffisance;;;circle;;;;Par le pouvoir (Argumentum ad potentiam);;;;;;;https://fr.wikipedia.org/wiki/Argument_d%27autorit%C3%A9;;Par le pouvoir (Argumentum ad potentiam)
1.2.1.1.1;Insuffisance;;;circle;;;;Argument d'autorité aveugle;;;;;;;https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/62/Blind-Authority-Fallacy;;Argument d'autorité aveugle
1.2.1.1.1.1;Insuffisance;;;circle;;;;Juste parce que;;;;;;;https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/115/Just-Because-Fallacy;;Juste parce que
1.2.1.1.2;Insuffisance;;;circle;;;;Appel à la confiance;;;;;;;http://rationalwiki.org/wiki/Appeal_to_confidence;;Appel à la confiance
1.2.1.1.3;Insuffisance;;;circle;;;;Autorité invicible;;;;;;;http://rationalwiki.org/wiki/Invincible_authority;;Autorité invicible
1.2.1.2;Insuffisance;;;circle;;;;Par le respect (ad verecundiam);;;;;;;https://fr.wikipedia.org/wiki/Argument_d%27autorit%C3%A9;;Par le respect (ad verecundiam)
1.2.1.2.1;Insuffisance;;;circle;;;;Appel à l'accomplissement;;;;;;;https://en.wikipedia.org/wiki/Appeal_to_accomplishment;;Appel à l'accomplissement
1.2.1.2.1.1;Insuffisance;;;circle;;;;Appel à la lune;;;;;;;https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/43/Appeal-to-the-Moon;;Appel à la lune
1.2.1.2.1.2;Insuffisance;;;circle;;;;Appel à la conversion;;;;;;;https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/166/Statement-of-Conversion;;Appel à la conversion
1.2.1.2.1.3;Insuffisance;;;circle;;;;Appel à la célébrité;;;;;;;http://www.fallacyfiles.org/apcelebs.html;;Appel à la célébrité
1.2.1.2.2;Insuffisance;;;circle;;;;Appel à l'humilité;;;;;;;http://www.charlatans.info/logique-suite.shtml#humilite;;Appel à l'humilité
1.2.1.3;Insuffisance;;;circle;;;;Ultracrepidarianisme;;;;;;;http://rationalwiki.org/wiki/Ultracrepidarianism;;Ultracrepidarianisme
1.2.1.3.1;Insuffisance;;;circle;;;;Professeur de rien;;;;;;;http://rationalwiki.org/wiki/Professor_of_nothing;;Professeur de rien
1.2.1.3.2;Insuffisance;;;circle;;;;Autorité Anonyme;;;;;;;https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/18/Anonymous-Authority;;Autorité Anonyme
1.2.1.3.3;Insuffisance;;;circle;;;;Ipse Dixit;;;;;;;http://rationalwiki.org/wiki/Ipse_dixit;;Ipse Dixit
1.2.1.3.3.1;Insuffisance;;;circle;;;;Autothéisme par procuration;;;;;;;http://rationalwiki.org/wiki/Vicarious_autotheism;;Autothéisme par procuration
1.2.1.3.3.1.1;Insuffisance;;;circle;;;;Chrétienté de cafétaria;;;;;;;http://rationalwiki.org/wiki/Cafeteria_Christian;;Chrétienté de cafétaria
1.2.2;Insuffisance;;;circle;;;;Sophisme naturaliste;;;;;;;https://fr.wikipedia.org/wiki/Paralogisme_naturaliste;;Sophisme naturaliste
